,0
0,80160
1,80340
2,76500
3,79680
4,77820
5,76020
6,80460
7,78180
8,80400
9,80340
10,79680
11,80340
12,79740
13,80760
14,80940
15,80340
16,79860
17,81960
18,76860
19,83280
20,81240
21,79800
22,80100
23,81960
24,82080
25,79740
26,78180
27,80100
28,79140
29,78780
30,80820
31,77940
32,80460
33,81780
34,78900
35,79860
36,80400
37,80820
38,81840
39,82320
40,84420
41,80580
42,81840
43,76560
44,81660
45,79800
46,79680
47,78600
48,81780
49,80460
50,80040
51,80700
52,80340
53,82080
54,79380
55,78420
56,82380
57,81720
58,79740
59,78360
60,79140
61,79800
62,79200
